year,state,k,n
,AK,0,106
,AL,0,2370
,AR,3,1320
,AZ,3,566
,CA,53,6151
,CO,5,684
,CT,9,1124
,DC,7,789
,DE,0,235
,FL,12,1976
,GA,2,3192
,HI,5,431
,IA,10,2136
,ID,3,486
,IL,25,5151
,IN,6,2112
,KS,8,1745
,KY,7,1718
,LA,22,2320
,MA,17,3353
,MD,14,1923
,ME,4,527
,MI,19,3271
,MN,8,2330
,MO,13,3247
,MS,0,1872
,MT,2,361
,NC,1,3286
,ND,1,366
,NE,4,1104
,NH,6,334
,NJ,36,5663
,NM,3,592
,NV,1,124
,NY,106,19391
,OH,18,4109
,OK,4,1570
,OR,3,1049
,PA,51,8661
,PI,0,12
,PR,679,2896
,RI,5,484
,SC,2,2384
,SD,5,697
,TN,4,1952
,TX,37,5415
,UT,0,457
,VA,22,2482
,VI,212,997
,VT,1,240
,WA,7,1214
,WI,8,2192
,WV,7,1313
,WY,1,164
,railroad,8,1121
1800,CA,0,3
1800,FL,0,1
1800,KY,0,1
1800,LA,0,1
1800,MI,0,3
1800,MN,0,1
1800,MO,0,2
1800,NJ,1,2
1800,NY,0,5
1800,OH,0,1
1800,PA,1,3
1800,PI,0,1
1800,SC,0,1
1800,TN,0,1
1800,railroad,0,1
1801,AL,0,1
1801,AR,0,1
1801,CA,0,1
1801,IL,0,1
1801,IN,0,1
1801,LA,0,1
1801,MA,0,2
1801,ME,0,1
1801,MI,0,1
1801,MN,0,1
1801,NY,0,2
1801,UT,0,1
1802,CA,0,2
1802,FL,0,1
1802,IA,0,1
1802,LA,0,1
1802,NJ,0,1
1802,NY,0,5
1802,OK,0,1
1802,PA,0,2
1802,RI,0,1
1802,TX,0,3
1803,CA,0,1
1803,DE,0,1
1803,IN,0,1
1803,MA,0,1
1803,MI,0,1
1803,MO,0,1
1803,NY,0,1
1803,OH,0,1
1803,PA,0,2
1803,VA,0,1
1803,WI,0,1
1803,railroad,0,1
1804,CT,0,1
1804,IL,0,1
1804,IN,0,1
1804,MA,0,1
1804,MD,0,1
1804,NJ,0,2
1804,NY,0,4
1804,OH,0,1
1804,SC,0,1
1804,WA,0,1
1804,railroad,1,1
1805,AL,0,1
1805,CA,0,2
1805,CT,0,1
1805,IL,0,4
1805,MA,0,3
1805,MD,0,1
1805,ME,0,1
1805,MO,0,1
1805,NY,0,4
1805,OH,0,1
1805,PA,0,1
1805,TX,0,3
1805,WV,0,1
1806,AL,0,1
1806,AR,0,1
1806,FL,0,1
1806,IL,0,1
1806,MN,0,1
1806,MO,0,1
1806,NC,0,1
1806,NJ,1,4
1806,NY,0,1
1806,PA,0,3
1806,PR,1,1
1806,SC,0,1
1806,WI,0,1
1807,CA,1,2
1807,IL,0,1
1807,IN,0,1
1807,MA,0,3
1807,MI,0,1
1807,MO,0,1
1807,NC,0,1
1807,NJ,0,1
1807,NY,0,5
1807,OK,0,1
1807,PA,0,6
1807,TN,0,1
1807,TX,0,1
1807,VA,0,1
1808,AL,0,1
1808,CA,1,3
1808,CT,0,2
1808,IL,0,4
1808,IN,0,3
1808,KY,0,2
1808,MA,1,5
1808,MD,0,2
1808,MI,0,1
1808,MN,0,1
1808,MO,0,1
1808,NC,0,3
1808,NH,0,2
1808,NY,0,10
1808,PA,0,3
1808,TN,0,1
1808,TX,0,5
1808,WA,0,1
1809,AL,0,1
1809,AZ,0,1
1809,DC,0,1
1809,IA,1,2
1809,IL,1,3
1809,IN,0,1
1809,MA,0,1
1809,MI,0,2
1809,MN,0,1
1809,MS,0,1
1809,NE,0,1
1809,NJ,1,2
1809,NY,0,7
1809,OH,0,2
1809,OK,0,1
1809,PA,2,4
1809,RI,1,1
1809,TX,0,3
1809,WA,0,3
1809,WV,0,1
1810,AL,1,1
1810,CA,0,1
1810,CT,0,1
1810,DC,1,1
1810,IL,0,1
1810,LA,0,2
1810,MN,0,1
1810,MO,0,1
1810,MT,0,1
1810,NC,0,2
1810,NJ,0,1
1810,NY,0,2
1810,PA,0,3
1810,RI,0,1
1810,SD,0,1
1810,WV,0,1
1811,CA,0,1
1811,CT,0,2
1811,FL,0,1
1811,GA,0,1
1811,HI,0,1
